Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",Mueller cell,Schwann cell,T cell,acinar cell,adipocyte,basophil,classical monocyte,conjunctival epithelial cell,corneal epithelial cell,endothelial cell,erythrocyte,erythroid lineage cell,eye photoreceptor cell,fibroblast,intermediate monocyte,keratocyte,macrophage,mast cell,mature NK T cell,microglial cell,monocyte,muscle cell,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,plasma cell,radial glial cell,retina horizontal cell,retinal bipolar neuron,retinal blood vessel endothelial cell,retinal ganglion cell,retinal pigment epithelial cell,smooth muscle cell,stromal cell
B cell,0.34864068031311035,0.3341986835002899,0.38708582520484924,0.28143730759620667,0.23830491304397583,0.3247462809085846,0.34591755270957947,0.3123067319393158,0.31644514203071594,0.5512953400611877,0.2745935916900635,0.3028053641319275,0.3635539412498474,0.29193028807640076,0.29684358835220337,0.30166855454444885,0.38708585500717163,0.5525833368301392,0.42595604062080383,0.537598729133606,0.3020413815975189,0.36134377121925354,0.5239126682281494,0.5387464165687561,0.22897331416606903,0.34645411372184753,0.5454118251800537,0.397923082113266,0.6255114078521729,0.5315154790878296,0.22930322587490082,0.3123460114002228,0.274067759513855,0.3156355619430542,0.3305046558380127,0.2984967827796936,0.3938082158565521,0.24216124415397644,0.3118547797203064
"CD4-positive, alpha-beta T cell",0.36783158779144287,0.3634338676929474,0.4037173390388489,0.28548499941825867,0.2453824281692505,0.3516692519187927,0.3592416048049927,0.32986578345298767,0.3260669410228729,0.5372610092163086,0.26245179772377014,0.28395000100135803,0.38041093945503235,0.3347984850406647,0.32099518179893494,0.32946935296058655,0.37147828936576843,0.5378884077072144,0.40946653485298157,0.5179092884063721,0.32027533650398254,0.3703557252883911,0.5119849443435669,0.5257169604301453,0.2306036502122879,0.3721207082271576,0.5256671905517578,0.41075941920280457,0.6110317707061768,0.5192908644676208,0.24140720069408417,0.28839585185050964,0.28003808856010437,0.3541688024997711,0.3290741443634033,0.32538145780563354,0.40407857298851013,0.24061064422130585,0.30794423818588257
"CD8-positive, alpha-beta T cell",0.40408244729042053,0.399614155292511,0.42857417464256287,0.309649795293808,0.2715519666671753,0.38899514079093933,0.37524157762527466,0.35291340947151184,0.36096662282943726,0.5495479106903076,0.3017374575138092,0.32771119475364685,0.4335290193557739,0.3507055342197418,0.3466298282146454,0.3547215163707733,0.40053504705429077,0.5475795865058899,0.43375301361083984,0.5278451442718506,0.3495999574661255,0.3872400224208832,0.522682785987854,0.5357783436775208,0.2904377281665802,0.39207029342651367,0.5390586853027344,0.4300003945827484,0.6208425760269165,0.5429134964942932,0.26597246527671814,0.33081480860710144,0.3027380704879761,0.3622992932796478,0.37174293398857117,0.3931772708892822,0.42729735374450684,0.2839542627334595,0.3500140607357025
Mueller cell,0.37177374958992004,0.3058112859725952,0.3453978896141052,0.3483215272426605,0.2870960235595703,0.2917709946632385,0.36531153321266174,0.2949647903442383,0.3083576261997223,0.3576948940753937,0.3114820122718811,0.3341224491596222,0.3562002182006836,0.3267548680305481,0.31184908747673035,0.3839391767978668,0.42888927459716797,0.34651464223861694,0.47449472546577454,0.35844895243644714,0.3028325140476227,0.3246985077857971,0.3863956928253174,0.35266390442848206,0.31213727593421936,0.22796513140201569,0.35231950879096985,0.35857391357421875,0.360237717628479,0.3723022937774658,0.3367994427680969,0.3461158573627472,0.33628594875335693,0.36716628074645996,0.3213309943675995,0.3438032567501068,0.429320365190506,0.28973230719566345,0.3598901331424713
Schwann cell,0.3508204221725464,0.2621079981327057,0.3258676528930664,0.29468974471092224,0.24943453073501587,0.24213749170303345,0.34528806805610657,0.29465165734291077,0.315455824136734,0.5116965174674988,0.3065812587738037,0.32826662063598633,0.3512038290500641,0.3415166735649109,0.31800493597984314,0.3391888737678528,0.3598349690437317,0.5098776817321777,0.4209105372428894,0.488779753446579,0.30944880843162537,0.32012346386909485,0.49111315608024597,0.49780574440956116,0.17176009714603424,0.3013933598995209,0.49373552203178406,0.35657110810279846,0.5937315821647644,0.4950682520866394,0.2337164282798767,0.3732735812664032,0.2870086431503296,0.35255810618400574,0.310880571603775,0.31224581599235535,0.4085053503513336,0.2584104835987091,0.3113066256046295
T cell,0.3552226424217224,0.35745131969451904,0.3949160873889923,0.2836516797542572,0.24449767172336578,0.3451211750507355,0.36856430768966675,0.3304203152656555,0.32939937710762024,0.553809404373169,0.2649737000465393,0.2878654897212982,0.382312148809433,0.3349071443080902,0.313383013010025,0.3302694857120514,0.36234140396118164,0.5578720569610596,0.4071660339832306,0.5355310440063477,0.32492372393608093,0.3573872745037079,0.5279698371887207,0.5414788722991943,0.2108709067106247,0.36124253273010254,0.5492603778839111,0.40496209263801575,0.642989993095398,0.5369980335235596,0.2112753540277481,0.2995322644710541,0.2755717933177948,0.3520847260951996,0.3246995508670807,0.31448522210121155,0.4079819321632385,0.24295638501644135,0.3047649562358856
acinar cell,0.2931719422340393,0.24603261053562164,0.2573609948158264,0.2685633599758148,0.246848002076149,0.22556445002555847,0.39211058616638184,0.35478636622428894,0.238225057721138,0.32949456572532654,0.23707513511180878,0.23760856688022614,0.3367897570133209,0.29354360699653625,0.2833479940891266,0.3252239525318146,0.3857937753200531,0.3222619593143463,0.4532884657382965,0.34656891226768494,0.24458883702754974,0.2677473723888397,0.3592499792575836,0.3252682387828827,0.16251282393932343,-0.012247144244611263,0.32401302456855774,0.3043428063392639,0.30179572105407715,0.3200533092021942,0.21719160676002502,0.24779890477657318,0.2547128200531006,0.34498926997184753,0.2860725224018097,0.24319282174110413,0.4141932725906372,0.232305645942688,0.2862672209739685
adipocyte,0.3308577835559845,0.26585766673088074,0.32292619347572327,0.2219785451889038,0.21439297497272491,0.2644961476325989,0.33168092370033264,0.29701218008995056,0.2596051096916199,0.6531621217727661,0.25709351897239685,0.2719397246837616,0.3052021563053131,0.18503667414188385,0.23485006392002106,0.3469586670398712,0.26408013701438904,0.6670836210250854,0.27347931265830994,0.6375022530555725,0.26269516348838806,0.2986270487308502,0.6435350775718689,0.6532877087593079,0.12378138303756714,0.2373880296945572,0.6598576307296753,0.33240649104118347,0.7326548099517822,0.64803147315979,0.19520460069179535,0.3258230686187744,0.23023606836795807,0.3559490740299225,0.2601986527442932,0.24895252287387848,0.3364013433456421,0.21496908366680145,0.23876674473285675
basophil,0.3569357693195343,0.3523123264312744,0.3869015872478485,0.32550153136253357,0.28969141840934753,0.3445330858230591,0.34241756796836853,0.311617374420166,0.3523814082145691,0.47251877188682556,0.3821062743663788,0.42033255100250244,0.37419795989990234,0.2622835338115692,0.270137757062912,0.3418687880039215,0.4468458890914917,0.46572473645210266,0.49093037843704224,0.4216431677341461,0.34919291734695435,0.36500033736228943,0.43391522765159607,0.45214009284973145,0.2046210616827011,0.35253748297691345,0.4359196722507477,0.40048617124557495,0.5928202271461487,0.46546658873558044,0.232619509100914,0.4373072683811188,0.31398752331733704,0.338801771402359,0.34858936071395874,0.35225003957748413,0.43588516116142273,0.291231244802475,0.3629096448421478
classical monocyte,0.4119560718536377,0.36145642399787903,0.41071608662605286,0.33108675479888916,0.29498380422592163,0.3660912811756134,0.39747104048728943,0.42424243688583374,0.38084879517555237,0.4658544957637787,0.362897664308548,0.3757342994213104,0.4428531229496002,0.3483530580997467,0.36402636766433716,0.33485135436058044,0.5413792133331299,0.4763329029083252,0.5630366206169128,0.46218472719192505,0.3823966085910797,0.3886759579181671,0.4632395803928375,0.4645960330963135,0.2808123528957367,0.3958940804004669,0.474057674407959,0.42272695899009705,0.551606297492981,0.44534942507743835,0.33739861845970154,0.4044027030467987,0.32692572474479675,0.3406762480735779,0.3978492319583893,0.38758423924446106,0.41836071014404297,0.31386759877204895,0.40241923928260803
conjunctival epithelial cell,0.399265855550766,0.3590390384197235,0.3998284637928009,0.3028852939605713,0.31348636746406555,0.3496086597442627,0.336845338344574,0.3062525689601898,0.39622777700424194,0.5218588709831238,0.38211938738822937,0.4090765416622162,0.3739974796772003,0.2754647433757782,0.27874693274497986,0.3322010934352875,0.40976256132125854,0.5216742753982544,0.4509228467941284,0.4706268608570099,0.3887593150138855,0.3997655510902405,0.4984399676322937,0.5073597431182861,0.25302281975746155,0.35612353682518005,0.48786085844039917,0.41212618350982666,0.604606568813324,0.5271482467651367,0.32896527647972107,0.4371943175792694,0.30162906646728516,0.35198497772216797,0.35116007924079895,0.3525436818599701,0.40174832940101624,0.30591052770614624,0.3436862528324127
corneal epithelial cell,0.4543294608592987,0.4178190529346466,0.4584527313709259,0.35406437516212463,0.3748319447040558,0.4136184751987457,0.3550603985786438,0.33259961009025574,0.46125850081443787,0.5272529721260071,0.44585633277893066,0.4875897467136383,0.4153193533420563,0.3162117898464203,0.31547150015830994,0.3684947192668915,0.4768635928630829,0.5233218669891357,0.5091648101806641,0.47689464688301086,0.449779212474823,0.4514450132846832,0.507201075553894,0.5172066688537598,0.31219273805618286,0.4332869350910187,0.5017884969711304,0.45842525362968445,0.6039939522743225,0.5409851670265198,0.39341357350349426,0.5110355615615845,0.3577713668346405,0.3821794092655182,0.39690664410591125,0.4379626214504242,0.4468362331390381,0.35930365324020386,0.4187224209308624
endothelial cell,0.3293936550617218,0.28562548756599426,0.3395251929759979,0.23897096514701843,0.2017604559659958,0.2758515179157257,0.31844213604927063,0.2918016314506531,0.26899582147598267,0.6501774787902832,0.25780394673347473,0.30173543095588684,0.3378244936466217,0.05220550298690796,0.17624905705451965,0.32491371035575867,0.3131498396396637,0.6691405773162842,0.3476909101009369,0.6525521278381348,0.26290470361709595,0.31467702984809875,0.6437149047851562,0.6505572199821472,0.0941198319196701,0.3710149824619293,0.6682448983192444,0.33865365386009216,0.746486485004425,0.6415610313415527,0.2079746574163437,0.39207473397254944,0.24571125209331512,0.32574811577796936,0.2987554371356964,0.27912864089012146,0.3509872257709503,0.22527062892913818,0.255863219499588
