Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,endothelial cell,intermediate monocyte,kidney epithelial cell,macrophage,monocyte,natural killer cell,neutrophil,non-classical monocyte,plasma cell
B cell,0.5101461410522461,0.4828847348690033,0.5019685626029968,0.49749085307121277,0.42354196310043335,0.6653943061828613,0.11724408715963364,0.6040070056915283,0.6676149964332581,0.5440458059310913,0.7737101912498474,0.6755338311195374,0.4794068932533264
"CD4-positive, alpha-beta T cell",0.5591341853141785,0.5024431347846985,0.5248280763626099,0.5201011300086975,0.4372466802597046,0.7133104205131531,0.08394639939069748,0.654043436050415,0.7153028249740601,0.5779036283493042,0.8239883780479431,0.7273395657539368,0.5025408267974854
"CD8-positive, alpha-beta T cell",0.5735694169998169,0.5213072896003723,0.5402122735977173,0.5344001054763794,0.44441258907318115,0.7244220972061157,0.08976125717163086,0.6651594638824463,0.7240733504295349,0.5863510966300964,0.8366420269012451,0.7384533882141113,0.5149528980255127
T cell,0.5623351335525513,0.5170514583587646,0.5342121124267578,0.5278541445732117,0.44047653675079346,0.7021198272705078,0.10052398592233658,0.6437710523605347,0.7002294063568115,0.5790804028511047,0.812261164188385,0.7175357341766357,0.5063725709915161
endothelial cell,0.49697446823120117,0.467602014541626,0.48056235909461975,0.46973198652267456,0.4400809407234192,0.564945638179779,0.27658915519714355,0.5271217226982117,0.5725134611129761,0.5106741189956665,0.6551127433776855,0.5877646803855896,0.4528602063655853
intermediate monocyte,0.5208070874214172,0.5076709389686584,0.5162309408187866,0.5018929243087769,0.4411817789077759,0.4808840751647949,0.2679126560688019,0.45406070351600647,0.48324257135391235,0.528163492679596,0.5836291909217834,0.505139946937561,0.46724289655685425
kidney epithelial cell,0.48971229791641235,0.4711979031562805,0.4838849902153015,0.4704667329788208,0.42346760630607605,0.5427967309951782,0.31935232877731323,0.5091075301170349,0.5564852952957153,0.5166316032409668,0.627332329750061,0.5634964108467102,0.4299599826335907
macrophage,0.4613964557647705,0.43119364976882935,0.44070297479629517,0.43314802646636963,0.37791329622268677,0.44713741540908813,0.1687682867050171,0.40307778120040894,0.45132604241371155,0.46373552083969116,0.5636249780654907,0.46824541687965393,0.40393805503845215
monocyte,0.49985581636428833,0.4801923334598541,0.4876994788646698,0.4770938754081726,0.4170486330986023,0.46198225021362305,0.23371359705924988,0.43217211961746216,0.4664265513420105,0.5051409006118774,0.5682162046432495,0.48518431186676025,0.4464489817619324
natural killer cell,0.5930471420288086,0.5479469895362854,0.5627428293228149,0.556411862373352,0.47752445936203003,0.7223437428474426,0.17414845526218414,0.6640344858169556,0.7221110463142395,0.5963993072509766,0.8367727994918823,0.7378649711608887,0.5379847884178162
neutrophil,0.6703091859817505,0.6565017700195312,0.6651270389556885,0.6458209753036499,0.5415467619895935,0.5868226289749146,0.3499371409416199,0.5671216249465942,0.596012532711029,0.6869169473648071,0.6927204132080078,0.6204899549484253,0.6047409772872925
non-classical monocyte,0.5250446796417236,0.502984881401062,0.5118481516838074,0.5002472400665283,0.4294276833534241,0.482421875,0.22461196780204773,0.4525507688522339,0.48813700675964355,0.5307958126068115,0.5988171696662903,0.5068837404251099,0.46774137020111084
plasma cell,0.5220657587051392,0.49386143684387207,0.5091093182563782,0.4979320466518402,0.44184610247612,0.6083291172981262,0.22762036323547363,0.5699446201324463,0.6236927509307861,0.5451322793960571,0.7297374606132507,0.6368340849876404,0.46605366468429565
