Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,classical monocyte,endothelial cell,erythrocyte,fibroblast,hematopoietic precursor cell,hepatic stellate cell,hepatocyte,intermediate monocyte,intrahepatic cholangiocyte,macrophage,mast cell,mature NK T cell,monocyte,myeloid cell,myeloid dendritic cell,natural killer cell,neutrophil,non-classical monocyte,plasma cell,plasmacytoid dendritic cell
B cell,0.4660789370536804,0.4243490695953369,0.46404170989990234,0.46326762437820435,0.7550641894340515,0.5292856693267822,0.4293912351131439,0.2668082118034363,0.3626822233200073,0.2584262490272522,0.3982709050178528,0.7882166504859924,0.28132063150405884,0.765505850315094,0.43832629919052124,0.45782262086868286,0.771592378616333,0.7199824452400208,0.8268062472343445,0.530095636844635,0.6837249398231506,0.7213382720947266,0.31989786028862,0.38702911138534546
"CD4-positive, alpha-beta T cell",0.472004234790802,0.4395310878753662,0.47210851311683655,0.463512659072876,0.6541544795036316,0.5384858250617981,0.41781431436538696,0.3176344037055969,0.34587371349334717,0.29672443866729736,0.40756291151046753,0.7118275165557861,0.3095037341117859,0.7002437114715576,0.48324230313301086,0.467698872089386,0.6818346977233887,0.6108633875846863,0.7726325392723083,0.5295609831809998,0.5717800259590149,0.6597933173179626,0.33711570501327515,0.3911489248275757
"CD8-positive, alpha-beta T cell",0.47527143359184265,0.4488866627216339,0.47777795791625977,0.4726410210132599,0.609265148639679,0.5427780151367188,0.43490374088287354,0.3036838173866272,0.343904584646225,0.29216626286506653,0.41876211762428284,0.675722062587738,0.3111959993839264,0.6898545622825623,0.4749670922756195,0.47235336899757385,0.6356735229492188,0.5777161121368408,0.7644482254981995,0.5270382761955261,0.5353623032569885,0.6238372921943665,0.3475867509841919,0.4003068804740906
T cell,0.47823378443717957,0.44787687063217163,0.4794595241546631,0.4813411235809326,0.6644524931907654,0.5260230302810669,0.4356684386730194,0.29450729489326477,0.3167541027069092,0.2719953954219818,0.4020526707172394,0.7312027812004089,0.25718605518341064,0.7203496694564819,0.4714193046092987,0.4709224998950958,0.6971436142921448,0.6251335740089417,0.7941661477088928,0.5214563608169556,0.58881676197052,0.6620643138885498,0.25046470761299133,0.37687015533447266
classical monocyte,0.5497059226036072,0.5244043469429016,0.5394675731658936,0.5442895293235779,0.5807064771652222,0.6125277876853943,0.5963173508644104,0.41774532198905945,0.5214057564735413,0.4224579930305481,0.5775975584983826,0.5901817679405212,0.4846546947956085,0.5984401106834412,0.5723024606704712,0.5484760403633118,0.5816439986228943,0.5811483263969421,0.7075669765472412,0.559956967830658,0.5501973032951355,0.6055592894554138,0.5319564342498779,0.5653454661369324
endothelial cell,0.4727887809276581,0.3780196011066437,0.4105890989303589,0.3950517475605011,0.5669171214103699,0.3962481915950775,0.36709529161453247,0.2923475503921509,0.3389590382575989,0.27357804775238037,0.3237280249595642,0.5966674089431763,0.2788463830947876,0.5873497724533081,0.3217052221298218,0.4069697856903076,0.5700986981391907,0.5524792075157166,0.6959909796714783,0.4483721852302551,0.5110458731651306,0.5448867678642273,0.3240063488483429,0.33333802223205566
erythrocyte,0.37460190057754517,0.3124556541442871,0.3387327790260315,0.3544335663318634,0.8858069777488708,0.5232681632041931,0.46183478832244873,0.4108174741268158,0.5713776350021362,0.42371249198913574,0.43159621953964233,0.9075571298599243,0.4374961853027344,0.8857808113098145,0.44925400614738464,0.30932554602622986,0.8944515585899353,0.8424450755119324,0.9342569708824158,0.34741106629371643,0.8267684578895569,0.8330725431442261,0.48731184005737305,0.49966323375701904
fibroblast,0.4201115667819977,0.36642491817474365,0.383505642414093,0.37672916054725647,0.39384782314300537,0.4170047640800476,0.3865145444869995,0.35836130380630493,0.2972464859485626,0.3408162295818329,0.3501113951206207,0.399924635887146,0.3476848006248474,0.39487478137016296,0.3520834743976593,0.37260276079177856,0.39227306842803955,0.4029475748538971,0.5515748262405396,0.40307164192199707,0.35920894145965576,0.39220982789993286,0.27124643325805664,0.3343723714351654
hematopoietic precursor cell,0.37130266427993774,0.33395475149154663,0.3612450957298279,0.33935099840164185,0.3988788425922394,0.4381227195262909,0.504235029220581,0.24062760174274445,0.26211315393447876,0.25306418538093567,0.3605889081954956,0.40483415126800537,0.27359116077423096,0.6028568148612976,0.03401367366313934,0.3364391028881073,0.38806766271591187,0.40687137842178345,0.7192385792732239,0.38862892985343933,0.3437952399253845,0.3780405521392822,0.27914726734161377,0.3470575213432312
hepatic stellate cell,0.4162602722644806,0.3214573264122009,0.34469273686408997,0.34480881690979004,0.6671381592750549,0.46602708101272583,0.4152553677558899,0.36068475246429443,0.36618202924728394,0.36849328875541687,0.36825087666511536,0.7117663025856018,0.3703133463859558,0.6934008002281189,0.3515459895133972,0.33194199204444885,0.6865781545639038,0.6457521319389343,0.7593626379966736,0.37598276138305664,0.5917817950248718,0.6033753156661987,0.3873307406902313,0.3956218957901001
