Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",adventitial cell,alveolar adventitial fibroblast,basal cell,basophil,bronchial smooth muscle cell,capillary endothelial cell,classical monocyte,club cell,endothelial cell of artery,endothelial cell of lymphatic vessel,intermediate monocyte,lung multiciliated epithelial cell,macrophage,mast cell,mature NK T cell,mesothelial cell,monocyte,myeloid dendritic cell,natural killer cell,neutrophil,non-classical monocyte,pericyte,plasma cell,plasmacytoid dendritic cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 2 cell,pulmonary ionocyte,respiratory tract goblet cell,serous cell of epithelium of bronchus,vascular associated smooth muscle cell,vein endothelial cell
B cell,0.3996540606021881,0.34621962904930115,0.44321712851524353,0.4949844479560852,0.2794121503829956,0.2719721496105194,0.315974622964859,0.20731759071350098,0.30155661702156067,0.6850593686103821,0.2618817985057831,0.26814040541648865,0.2931915521621704,0.6912932395935059,0.14017456769943237,0.6886075735092163,0.33772146701812744,0.48195162415504456,0.2625545561313629,0.6480463743209839,0.7971169948577881,0.46775004267692566,0.7927420139312744,0.6789914965629578,0.32045039534568787,0.027313577011227608,0.5847506523132324,0.2639310657978058,0.2143753618001938,0.3448064625263214,0.2501632273197174,0.4464919865131378,0.2604192793369293,0.316507488489151
"CD4-positive, alpha-beta T cell",0.39490485191345215,0.41253575682640076,0.5211650133132935,0.4045456051826477,0.24410124123096466,0.28996238112449646,0.3759223520755768,0.20177555084228516,0.2740878760814667,0.5874353647232056,0.2869349718093872,0.35199254751205444,0.3977089822292328,0.591708779335022,0.18623217940330505,0.590225875377655,0.3805679380893707,0.556685209274292,0.350511372089386,0.5379570126533508,0.6328716278076172,0.5481466054916382,0.7100370526313782,0.5729303956031799,0.28038808703422546,0.055217958986759186,0.4641147553920746,0.30193892121315,0.2271563708782196,0.3628503978252411,0.274920791387558,0.4826609790325165,0.22553585469722748,0.41339659690856934
"CD8-positive, alpha-beta T cell",0.49736288189888,0.5231236219406128,0.5993862152099609,0.555713415145874,0.3695155680179596,0.3442309498786926,0.4937264621257782,0.33461993932724,0.41044262051582336,0.6546309590339661,0.3520415127277374,0.5228981971740723,0.5421931743621826,0.6568230390548706,0.2974027097225189,0.6609156131744385,0.5162593126296997,0.6253926753997803,0.45903608202934265,0.6113978624343872,0.6911888718605042,0.6128948330879211,0.7830930948257446,0.6414519548416138,0.36593011021614075,0.3017129600048065,0.5398800373077393,0.37787747383117676,0.2978533208370209,0.4070777893066406,0.34306174516677856,0.5872945785522461,0.3374638259410858,0.5742020606994629
adventitial cell,0.4907655417919159,0.4193243384361267,0.4748114049434662,0.5632830858230591,0.46691933274269104,0.37083864212036133,0.44058993458747864,0.49349603056907654,0.4981413781642914,0.7032192945480347,0.35015344619750977,0.45526209473609924,0.46919479966163635,0.7051974534988403,0.26530715823173523,0.7031728029251099,0.5079529285430908,0.5204306840896606,0.32515326142311096,0.6599361896514893,0.8319078087806702,0.4993048906326294,0.7842355966567993,0.7006226778030396,0.5504812598228455,0.39809587597846985,0.6008161306381226,0.419606477022171,0.35164880752563477,0.3504728376865387,0.34436890482902527,0.4738617241382599,0.5530597567558289,0.4744907319545746
alveolar adventitial fibroblast,0.46658632159233093,0.38029053807258606,0.4179970324039459,0.49061885476112366,0.442209392786026,0.39149075746536255,0.41315826773643494,0.43736737966537476,0.5223644971847534,0.5744339227676392,0.39475080370903015,0.4871639311313629,0.486063152551651,0.5853009223937988,0.3148265480995178,0.6029594540596008,0.48262250423431396,0.4499812126159668,0.3455236554145813,0.5482685565948486,0.8424533605575562,0.43552470207214355,0.6591617465019226,0.5795531272888184,0.5184494853019714,0.33870235085487366,0.577404260635376,0.4250316917896271,0.36686936020851135,0.3654879033565521,0.36715173721313477,0.4588002562522888,0.5088387131690979,0.5016989707946777
basal cell,0.3578213155269623,0.2915477454662323,0.32298001646995544,0.3215303421020508,0.19934816658496857,0.2091890573501587,0.2797154486179352,0.2149951010942459,0.26019659638404846,0.37849387526512146,0.23719623684883118,0.22917607426643372,0.21153365075588226,0.39632126688957214,0.1267445832490921,0.4343176782131195,0.27777597308158875,0.32937297224998474,0.1943211853504181,0.36414021253585815,0.7827485799789429,0.313840389251709,0.5120302438735962,0.3849310576915741,0.27825111150741577,0.22493061423301697,0.4910455346107483,0.23020614683628082,0.22347164154052734,0.2232746183872223,0.23154571652412415,0.36072173714637756,0.2768011689186096,0.2568437159061432
basophil,0.4913066029548645,0.4288812577724457,0.47214841842651367,0.666724443435669,0.5167803764343262,0.4250292479991913,0.47318118810653687,0.3670952618122101,0.48512473702430725,0.550804853439331,0.4346338212490082,0.4617565870285034,0.4696047008037567,0.5460326671600342,0.36276018619537354,0.555351734161377,0.4824539124965668,0.5149005055427551,0.4664561450481415,0.5053367614746094,0.5671335458755493,0.5191617608070374,0.6978241205215454,0.5335776805877686,0.5182548761367798,0.3484276235103607,0.6454698443412781,0.47804269194602966,0.41296401619911194,0.508868932723999,0.4091801941394806,0.6473552584648132,0.40782955288887024,0.4891158640384674
bronchial smooth muscle cell,0.42405039072036743,0.2977108955383301,0.3374048173427582,0.49112704396247864,0.4107133448123932,0.3638556897640228,0.3355696499347687,0.431677907705307,0.4474039375782013,0.5492639541625977,0.33361154794692993,0.3708374500274658,0.40296104550361633,0.5576545000076294,0.2340974062681198,0.5852673649787903,0.40019434690475464,0.357351690530777,0.3103446364402771,0.5084941387176514,0.8019116520881653,0.3472093641757965,0.6698520183563232,0.546047568321228,0.4951457977294922,0.2551545798778534,0.5849888324737549,0.4167659282684326,0.3419050872325897,0.3415800631046295,0.32565179467201233,0.4681389033794403,0.4922578036785126,0.3670565187931061
capillary endothelial cell,0.5897500514984131,0.4617302417755127,0.5246316194534302,0.4711669087409973,0.3800930082798004,0.37034180760383606,0.46715477108955383,0.3905772864818573,0.4859883189201355,0.5277636051177979,0.4214359223842621,0.45167455077171326,0.43882206082344055,0.5409623980522156,0.3782253563404083,0.5611813068389893,0.4864499866962433,0.5515273809432983,0.40858194231987,0.5128359794616699,0.9134728908538818,0.5484187602996826,0.6442187428474426,0.5367453098297119,0.4270980656147003,0.4081597626209259,0.7217391729354858,0.41556233167648315,0.4077928364276886,0.41485413908958435,0.3939395844936371,0.4858621656894684,0.4338759779930115,0.4660056233406067
classical monocyte,0.48644182085990906,0.39542317390441895,0.44373369216918945,0.707107663154602,0.5385009050369263,0.3786619007587433,0.4038334786891937,0.26582011580467224,0.44049423933029175,0.5207854509353638,0.38771653175354004,0.38367167115211487,0.38955387473106384,0.527904748916626,0.24613261222839355,0.5559383034706116,0.43770071864128113,0.5044481158256531,0.36363139748573303,0.4993589222431183,0.7828170657157898,0.488054096698761,0.6837793588638306,0.5151282548904419,0.5587405562400818,0.289519727230072,0.7106238007545471,0.40291687846183777,0.3712739050388336,0.43304339051246643,0.3659880459308624,0.5652265548706055,0.34003162384033203,0.42520657181739807
