Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,classical monocyte,endothelial cell,fibroblast,intermediate monocyte,macrophage,mast cell,mature NK T cell,monocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,plasma cell,type B pancreatic cell
B cell,0.4627028703689575,0.3403036594390869,0.4229385554790497,0.4572063982486725,0.5825684666633606,0.46511146426200867,0.42190617322921753,0.5980148315429688,0.5843779444694519,0.39840763807296753,0.42267361283302307,0.6280475854873657,0.5124078989028931,0.5340961813926697,0.5637288093566895,0.32590267062187195,0.22699092328548431,0.26826396584510803,0.23800572752952576,0.2652463912963867,0.2957953214645386,0.2709549069404602,0.20146499574184418
"CD4-positive, alpha-beta T cell",0.4137437045574188,0.34611839056015015,0.440255343914032,0.42762160301208496,0.5286144018173218,0.3327695429325104,0.3420652449131012,0.5423575639724731,0.5185200572013855,0.35261398553848267,0.43757885694503784,0.5873897671699524,0.5504370927810669,0.4853087365627289,0.5180612206459045,0.24603329598903656,0.168758824467659,0.21574892103672028,0.16223840415477753,0.2039392590522766,0.22751645743846893,0.23326069116592407,0.14328782260417938
"CD8-positive, alpha-beta T cell",0.4866849482059479,0.4211220145225525,0.5229795575141907,0.5249700546264648,0.6118872761726379,0.39615827798843384,0.4140996038913727,0.6279033422470093,0.6126631498336792,0.44572630524635315,0.5210309028625488,0.6579121947288513,0.6232643723487854,0.5724955797195435,0.6115972399711609,0.31993192434310913,0.2299591302871704,0.2967483699321747,0.23678122460842133,0.2824972867965698,0.2899470329284668,0.31501510739326477,0.2086220532655716
T cell,0.40909266471862793,0.3021077513694763,0.38289591670036316,0.4059496223926544,0.4653027653694153,0.4617619216442108,0.4086213707923889,0.4880569279193878,0.4596879482269287,0.33741605281829834,0.389493465423584,0.5396619439125061,0.47574231028556824,0.4327342212200165,0.4704759120941162,0.33813953399658203,0.19935564696788788,0.2349058836698532,0.21952998638153076,0.2332443743944168,0.2498132288455963,0.20127536356449127,0.1800791174173355
classical monocyte,0.520546019077301,0.3844005763530731,0.4646638333797455,0.5152236223220825,0.5901932716369629,0.5244091749191284,0.5707078576087952,0.6072798371315002,0.585996687412262,0.46158865094184875,0.47676849365234375,0.6376898884773254,0.5351839661598206,0.5588403940200806,0.5761577486991882,0.3753773868083954,0.2588437497615814,0.3472920358181,0.2764159142971039,0.37915393710136414,0.4088978171348572,0.30702292919158936,0.25155097246170044
endothelial cell,0.7184275984764099,0.473316490650177,0.5222191214561462,0.6104001998901367,0.6813273429870605,0.6117295026779175,0.5170760154724121,0.686107337474823,0.6579477787017822,0.5431948900222778,0.5913523435592651,0.7834063768386841,0.5856015682220459,0.6484993100166321,0.6719620227813721,0.2938581705093384,0.2683354914188385,0.31134310364723206,0.3188979923725128,0.2860817015171051,0.367026686668396,0.5084928274154663,0.2655532658100128
fibroblast,0.49547481536865234,0.3338536024093628,0.4054960012435913,0.5314175486564636,0.621845543384552,0.656017541885376,0.5271268486976624,0.6405324935913086,0.6172067523002625,0.481477290391922,0.4595169126987457,0.7080332636833191,0.4727247953414917,0.5919837355613708,0.6088671088218689,0.4502200782299042,0.4030579626560211,0.4027089476585388,0.27944791316986084,0.401145875453949,0.3855951726436615,0.3214696943759918,0.37026336789131165
intermediate monocyte,0.5400100946426392,0.398104190826416,0.47686299681663513,0.5368364453315735,0.608326256275177,0.5468872785568237,0.5926819443702698,0.6234096884727478,0.6047667264938354,0.4818769693374634,0.4903421998023987,0.6545965075492859,0.5515568852424622,0.5773123502731323,0.5903763175010681,0.40564626455307007,0.2905391752719879,0.3709522485733032,0.29138877987861633,0.4032069444656372,0.4350505769252777,0.32851067185401917,0.27972570061683655
macrophage,0.42338767647743225,0.2746109664440155,0.36699357628822327,0.40754151344299316,0.5067790746688843,0.3672209084033966,0.4537765383720398,0.5213795304298401,0.4919610619544983,0.34000444412231445,0.35801926255226135,0.550262987613678,0.4362347722053528,0.4690296947956085,0.48511001467704773,0.25233975052833557,0.14341220259666443,0.22540397942066193,0.18144802749156952,0.24865247309207916,0.2868601381778717,0.18597954511642456,0.1262660175561905
mast cell,0.39321401715278625,0.25166356563568115,0.32834702730178833,0.39450863003730774,0.46713635325431824,0.45673054456710815,0.403937429189682,0.48682424426078796,0.44837066531181335,0.34748080372810364,0.3431166410446167,0.5460782051086426,0.4056210219860077,0.4334108531475067,0.467905730009079,0.33146634697914124,0.1943313032388687,0.220621719956398,0.18044991791248322,0.21732063591480255,0.2452765852212906,0.19949714839458466,0.171354278922081
mature NK T cell,0.4144571125507355,0.3294405937194824,0.4124642610549927,0.4155377447605133,0.48774293065071106,0.4112659692764282,0.37850579619407654,0.5009551644325256,0.47470057010650635,0.338049054145813,0.4167531132698059,0.5365787744522095,0.49529898166656494,0.4458072781562805,0.48121657967567444,0.26891422271728516,0.16646939516067505,0.22568675875663757,0.18789507448673248,0.21965260803699493,0.24591894447803497,0.2272249311208725,0.15893886983394623
monocyte,0.4309360980987549,0.30953431129455566,0.373239129781723,0.4239431321620941,0.500173032283783,0.4051719307899475,0.4639074206352234,0.5145217776298523,0.49609458446502686,0.3728794753551483,0.3729013204574585,0.5421628355979919,0.42646217346191406,0.46018239855766296,0.4815122187137604,0.3133258819580078,0.22893428802490234,0.27070537209510803,0.24813295900821686,0.29676076769828796,0.348879873752594,0.26024129986763,0.20889022946357727
natural killer cell,0.5938409566879272,0.5456919074058533,0.6298608779907227,0.6414006948471069,0.7009140849113464,0.5334984660148621,0.5451410412788391,0.7161033153533936,0.7064486742019653,0.5676156878471375,0.6282850503921509,0.7392756342887878,0.6897891163825989,0.666286826133728,0.7037256956100464,0.41914471983909607,0.3022155463695526,0.40719786286354065,0.31322354078292847,0.3845209777355194,0.4071768820285797,0.45397433638572693,0.2714649736881256
